title,year,total_sales
Finding Nemo,2003.0,2.09
Shin Hayarigami 2,2016.0,0.03
J-League Winning Eleven 10 + Europa League 06-07,2006.0,0.21
F/A-18F Super Hornet,2004.0,0.28
FIFA Soccer 08,2007.0,1.03
Pure Farming 2018,2018.0,0.04
Dragon Ball GT: Game Boy Advance Video Volume 1,2004.0,0.17
World Soccer Winning Eleven 2002,2002.0,0.13
Train Simulator 2016,2015.0,0.04
Drake & Josh: Talent Showdown,2007.0,0.03
Rugby 15,2015.0,0.1
Need for Speed: Hot Pursuit 2,2002.0,0.0
Remember Me,2013.0,0.19
Nike+ Kinect Training,2012.0,0.04
Yes! PreCure 5,2007.0,0.04
Star Wolves,2005.0,0.0
Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,2009.0,0.02
LEGO Harry Potter: Years 5-7,2011.0,0.68
MTX Mototrax,2004.0,0.26
Vitamin X: Detective B6,2012.0,0.02
Conflict: Desert Storm II - Back to Bagdhad,2003.0,0.28
Astro Boy: Omega Factor,2004.0,0.09
Real Time Conflict: Shogun Empires,2005.0,0.07
Tennis no Oji-Sama: Aim at The Victory!,2002.0,0.14
The Incredible Hulk,2008.0,0.31
Tiny Toon Adventures: Plucky's Big Adventure,2001.0,0.27
The X-Factor,2010.0,0.33
Macross 30: Voices across the Galaxy,2013.0,0.1
Michael Jackson The Experience HD,2012.0,0.1
Dragon Ball Z: Buu's Fury,2004.0,0.61
South Park: The Stick of Truth,2018.0,0.03
Toukiden,2014.0,0.36
Persona Dancing: Deluxe Twin Plus,2018.0,0.02
Brothers in Arms: Furious 4,2012.0,0.01
SpongeBob SquarePants: Game Boy Advance Video Volume 3,2004.0,0.21
Dante's Inferno,2010.0,1.08
Star Wars: Obi-Wan,2001.0,0.7
NFL Street,2004.0,0.35
WCW Backstage Assault,2000.0,0.21
Gormiti: The Lords of Nature!,2010.0,0.04
SpongeBob SquarePants: Battle for Bikini Bottom,2003.0,0.57
18 Wheels of Steel: Extreme Trucker 2,2011.0,0.13
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,2010.0,0.3
Angry Birds Trilogy,2012.0,0.26
Airline Tycoon Deluxe,2003.0,0.0
Super Monkey Ball 2,2002.0,1.52
Nakayoshi All-Stars: Mezase Gakuen Idol,2008.0,0.01
MotoGP '07,2007.0,0.25
Scooby-Doo! Unmasked,2005.0,0.25
Art of Murder: Hunt for the Puppeteer,2009.0,0.0
Heathcliff! Frantic Foto,2010.0,0.04
Dragon's Dogma,2016.0,0.01
Mugen Souls Z,2014.0,0.07
Attack on Titan 2,2018.0,0.22
Majo'ou,2014.0,0.01
SimAnimals,2009.0,0.52
Conan Exiles,2018.0,0.21
Section 8,2009.0,0.05
Learn Math,2009.0,0.13
Lego Marvel Super Heroes: Universe in Peril,2013.0,0.38
A Vampyre Story,2008.0,0.02
Shin Sangoku Musou 6 Special,2011.0,0.11
Tenchu 2: Birth of the Stealth Assassins,2000.0,0.58
Take On Helicopters,2011.0,0.03
Jeremy McGrath Supercross World,2001.0,0.23
GunPey,2006.0,0.05
Ener-G: Dance Squad,2008.0,0.16
Penguin no Mondai: The World,2010.0,0.1
Mortal Kombat: Deception,2004.0,1.88
Yamamura Misa Suspense: Kyoto Kuramayama Shou Satsujin Jiken,2009.0,0.0
Ro-Kyu-Bu!,2011.0,0.08
Seitokai no Ichizon: DS-suru Seitokai,2010.0,0.02
Galactic Wrestling: Featuring Ultimate Muscle,2004.0,0.22
Tomb Raider: Legend (Weekly American and JP sales),2006.0,0.27
Micro Machines,2003.0,0.14
Animal Crossing: Amiibo Festival,2015.0,0.49
One Piece: Unlimited World Red Deluxe Edition,2017.0,0.07
Lost in Blue: Shipwrecked,2008.0,0.08
Fallout: New Vegas,2010.0,3.17
Minna no Ennichi,2012.0,0.05
Dynasty Warriors Vol. 2,2006.0,0.05
Taz Wanted,2002.0,0.07
Asterix & Obelix: Kick Buttix,2004.0,0.03
Wolfenstein II: The New Colossus,2018.0,0.11
Madden NFL 10,2009.0,2.37
Winning Eleven: Pro Evolution Soccer 2007,2007.0,0.17
Kobitodzukan: Kobito no Fushigi - Jikken Set,2013.0,0.08
Farming Simulator 17,2017.0,0.13
Scooby-Doo! Who's Watching Who?,2006.0,0.08
Michael Jackson: The Experience,2010.0,4.37
Classic NES Series: Dr. Mario,2004.0,0.56
Attack on Titan: Escape from Certain Death,2017.0,0.04
Dokapon: Monster Hunter,2001.0,0.0
TNA iMPACT: Cross the Line,2010.0,0.05
Gladiator: Sword of Vengeance,2003.0,0.0
Start the Party!,2010.0,0.62
Star Wars: Lethal Alliance,2006.0,0.13
Winning Post World 8,2014.0,0.04
Star Trek: Legacy,2006.0,0.18
The Legend of Dragoon,2000.0,1.86
Transworld Snowboarding,2002.0,0.09
Trillion: God of Destruction,2016.0,0.13
SSX 3,2003.0,0.38
Odin Sphere: Leifthrasir,2016.0,0.34
Puyo Puyo Tetris,2017.0,0.1
JoJo's Bizarre Adventure: Eyes of Heaven,2015.0,0.04
Higurashi no Naku Koro ni: Jan,2009.0,0.02
CT Special Forces 2: Back in the Trenches,2004.0,0.01
Evangelion: Jo,2009.0,0.03
Handball 16,2015.0,0.01
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,2011.0,0.03
Saint,2009.0,0.02
International Athletics,2008.0,0.0
Tamagotchi no Narikiri Challenge,2010.0,0.17
Pachi-Slot Aruze Oukoku 3,2000.0,0.11
Hello Kitty Party,2009.0,1.41
Kiniro no Corda 2 f,2009.0,0.04
Tiger Woods PGA Tour,2004.0,0.15
Shenmue I & II,2018.0,0.27
