title,year,total_sales
All Kamen Rider: Rider Revolution,2016.0,0.06
Last Ranker,2010.0,0.13
Shrek Smash n' Crash Racing,2006.0,0.09
Road Rash 3D,1998.0,1.25
Saiyuki: Journey West,2001.0,0.05
The Story of Noah's Ark,2010.0,0.09
NFL Quarterback Club 99,1998.0,0.62
Street Supremacy,2006.0,0.03
Tony Hawk's Proving Ground,2007.0,0.25
Viewtiful Joe: Double Trouble!,2005.0,0.11
King of Clubs: Mini Golf,2008.0,0.1
Folklore,2007.0,0.32
Guilty Gear XX Accent Core,2007.0,0.04
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,2009.0,0.03
Mace Griffin: Bounty Hunter,2004.0,0.0
Looney Tunes: Cartoon Conductor,2008.0,0.04
Ghost Squad,2007.0,0.77
Tom Clancy's Ghost Recon,2003.0,0.15
Hotel for Dogs,2009.0,0.23
Contra: Shattered Soldier,2002.0,0.58
Nobunaga no Yabou: Souzou,2013.0,0.19
Shin Super Robot Taisen Special Disk,1997.0,0.32
F1 Racing Championship,2000.0,0.11
Pop Cutie! Street Fashion Simulation,2008.0,0.06
Castlevania: Dawn of Sorrow,2005.0,0.43
Phantasy Star Universe,2006.0,0.12
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,2010.0,0.03
Bladestorm: Nightmare,2015.0,0.08
Saihai no Yukue,2008.0,0.03
Tom Clancy's Splinter Cell: Blacklist,2013.0,0.21
Aliens: Colonial Marines,2013.0,0.64
428: Fuusa Sareta Shibuya de,2008.0,0.13
Bruce Lee: Quest of the Dragon,2002.0,0.31
NHL Open Ice,1996.0,0.07
Tokyo Highway Battle,1996.0,0.33
The Walking Dead: Survival Instinct,2013.0,0.64
007: Quantum of Solace,2008.0,1.48
Bob the Builder: Can We Fix It?,2001.0,0.57
Final Fantasy XI: Online,2004.0,0.0
Klonoa 2: Dream Champ Tournament,2005.0,0.03
Blazing Angels: Squadrons of WWII,2006.0,0.42
Project CARS 2,2017.0,0.55
The Princess and the Frog,2009.0,0.46
Klonoa,2009.0,0.16
Shrek 2,2004.0,0.55
Kingdom Hearts: Final Mix,2002.0,0.55
Dead Rising: Chop Till You Drop,2009.0,0.29
Castlevania: Harmony of Dissonance,2002.0,0.26
The Powerpuff Girls: Chemical X-Traction,2001.0,0.16
Cooking Mama 2: Dinner With Friends,2007.0,3.58
The Grim Adventures Of Billy & Mandy,2006.0,0.05
Sitting Ducks,2004.0,0.05
GunGriffon II,1998.0,0.06
Kikou Heidan J-Phoenix: Cobalt Shoutaihen,2002.0,0.02
Rayman Raving Rabbids: TV Party,2008.0,2.03
Tony Hawk's Project 8,2006.0,0.56
Virtual Chess 64,1998.0,0.06
Bleach: Soul Resurreccion,2011.0,0.51
Moto Racer,1997.0,0.8
Championship Manager 2007,2006.0,0.0
NBA 2K11,2010.0,0.42
Detective Conan: Phantom Rhapsody,2014.0,0.04
The Darkness II,2012.0,0.32
TimeSplitters: Future Perfect,2005.0,0.08
GamesAid: Triple Pack,2010.0,0.0
Utawarerumono: Chiriyukusha e no Komoriuta,2018.0,0.02
Horrid Henry: Missions of Mischief,2010.0,0.0
Rock Band Track Pack: Classic Rock,2009.0,0.22
WWE SmackDown! vs. Raw 2006,2005.0,3.0
Disney Infinity 2.0: Marvel Super Heroes,2015.0,0.08
Sakura Wars,1996.0,0.55
Saints Row IV: Re-Elected,2015.0,0.42
Fushigi Yuugi DS,2009.0,0.0
Sega Superstars,2004.0,0.17
Tony Hawk's Underground 2,2004.0,0.49
The King of Fighters XI,2007.0,0.19
LEGO Star Wars III: The Clone Wars,2011.0,1.48
Lost Planet: Extreme Condition Colonies Edition,2008.0,0.0
Frogger's Adventures: Temple of the Frog,2001.0,2.39
Nikoli's Pencil Puzzle,2011.0,0.09
Duke Nukem 3D: 20th Anniversary World Tour,2016.0,0.09
Space Invaders Extreme 2,2009.0,0.19
Labyrinth of Refrain: Coven of Dusk,2018.0,0.03
Sonic & SEGA All-Stars Racing,2010.0,0.96
Death to Spies,2007.0,0.0
Carnival Island,2011.0,0.23
I am Setsuna,2016.0,0.07
"BCFX: The Black College Football Xperience, The Doug Williams Edition",2009.0,0.16
Sotsugyou II: Neo Generation Special,1995.0,0.02
Conception: Please Give Birth to My Child!,2012.0,0.08
Shinseiki GPX Cyber Formula VS,2008.0,0.01
Brave: The Video Game,2012.0,0.01
Bleach: Heat the Soul 5,2008.0,0.08
Ratchet & Clank: Up Your Arsenal (Weekly american sales),2004.0,1.33
Disney's Home on the Range,2004.0,0.17
The Secret Saturdays: Beasts of the 5th Sun,2009.0,0.1
WWE Day of Reckoning,2004.0,0.45
Baja: Edge of Control,2008.0,0.2
FIFA Soccer 08,2007.0,3.14
Darkwatch,2005.0,0.21
Super Robot Wars V,2017.0,0.15
Mafia,2004.0,0.7
Ringling Bros. and Barnum & Bailey: Circus Friends,2009.0,0.18
Valentino Rossi: The Game,2016.0,0.02
The Sims: Bustin' Out,2003.0,1.33
Tayutama: Kiss on my Deity,2009.0,0.01
Assassin's Creed IV: Black Flag,2013.0,3.19
Tom Clancy's The Division,2016.0,2.59
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,2006.0,0.11
Bladestorm: Nightmare,2015.0,0.22
Ragnarok Odyssey,2012.0,0.42
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2016.0,0.02
FIFA Soccer 06,2005.0,4.21
Atari Flashback Classics: Volume 3,2018.0,0.05
Little League World Series Baseball 2009,2009.0,0.13
Memories Off: Sorekara,2008.0,0.01
Professor Heinz Wolff's Gravity,2009.0,0.05
Sega Ages 2500 Series Vol. 26: Dynamite Deka,2006.0,0.02
Dragon Ball Z,1999.0,1.45
Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,2018.0,0.02
NBA 09: The Inside,2008.0,0.17
Scene It? Twilight,2009.0,0.26
The Girl and the Robot,2017.0,0.03
Rampo,1995.0,0.03
Dance Paradise,2011.0,0.12
Cabela's Big Game Hunter,2002.0,0.09
Madden NFL 15,2014.0,2.25
Cyber Sled,1995.0,0.14
NCAA March Madness 2005,2004.0,0.28
Dynasty Warriors 9,2018.0,0.37
Illusion of Gaia,1994.0,0.13
Quiz Magic Academy DS,2008.0,0.32
Yomawari: Midnight Shadows,2017.0,0.06
Marvel Super Hero Squad,2009.0,0.21
Just Dance Kids 2,2011.0,0.27
Yu-Gi-Oh! Monster Capsule Breed & Battle,1998.0,0.28
Age of Empires Gold Edition,1999.0,0.0
Nobunaga's Ambition: Taishi,2017.0,0.01
Command & Conquer,1997.0,0.4
Let's Dance with Mel B,2012.0,0.03
NHL Hitz Pro,2003.0,0.04
Teenage Mutant Ninja Turtles,1989.0,4.17
NASCAR 2005: Chase for the Cup,2004.0,0.12
Mario Party: Star Rush,2016.0,0.87
SteamWorld Dig 2,2018.0,0.01
Mobile Suit Gundam: Lost War Chronicles,2002.0,0.39
Just Dance 2014,2013.0,0.39
NickToons Racing,2001.0,0.17
Bomberman Land Touch!,2006.0,0.09
Spider-Man 3,2007.0,0.02
Baldur's Gate: Dark Alliance,2004.0,0.03
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,2009.0,0.01
Frogger: Helmet Chaos,2005.0,0.11
FIFA Soccer 2003 (weekly jp sales),2002.0,0.04
Hanasaku Manimani,2014.0,0.01
WWE Crush Hour,2003.0,0.08
Tiger Woods 99 PGA Tour Golf,1998.0,1.53
Army Men: Sarge's Heroes,1999.0,0.81
Madden NFL 08,2007.0,0.97
Monster Jam: Crush It,2017.0,0.08
NBA Ballers: Chosen One,2008.0,0.15
Freddi Fish: Kelp Seed Mystery,2008.0,0.07
T'ai Fu: Wrath of the Tiger,1999.0,0.15
Final Fantasy,2000.0,0.51
Maple Story: Unmei no Shoujo,2014.0,0.01
Wizards of Waverly Place: Spellbound,2010.0,0.2
Mega Man Star Force Dragon / Leo / Pegasus,2007.0,0.95
Reign of Fire,2002.0,0.11
Sid Meier's Railroads!,2006.0,0.04
CSI: 3 Dimensions of Murder,2006.0,0.0
NatGeo Challenge! Wild Life,2010.0,0.1
Rosario to Vampire CAPU 2: Koi to Yume no Kyousoukyoku,2009.0,0.01
Pro Yakyuu Spirits 4,2007.0,0.19
Mortal Kombat: Deception,2004.0,1.88
Tony Hawk's Pro Skater,2000.0,1.33
To Heart 2 DX Plus,2011.0,0.05
Transformers: War for Cybertron,2010.0,0.5
Power Stone,1999.0,0.14
Atelier Rorona: Alchemist of Arland,2014.0,0.05
Aqua Panic!,2009.0,0.02
Ratchet & Clank: Quest for Booty,2008.0,0.55
NBA Live 08,2007.0,0.0
Digimon World Championship,2008.0,0.0
Higurashi no Naku Koro ni Iki,2015.0,0.02
Cabela's Dangerous Hunts 2009,2008.0,0.18
Tamagotchi Collection,2011.0,0.15
The X-Factor,2010.0,0.33
Major League Baseball 2K9,2009.0,0.61
Shrek Super Party,2003.0,0.05
Sailor Moon,1994.0,0.22
PopStar Guitar,2008.0,0.06
War Thunder,2017.0,0.0
Madden NFL 07,2006.0,0.53
The Settlers: Heritage of Kings,2005.0,0.0
Shrek the Third,2007.0,0.31
X-Men: Destiny,2011.0,0.06
Hell's Kitchen: The Game,2008.0,0.33
Criticom,1996.0,0.12
Rock Band: Metal Track Pack,2009.0,0.11
Gal Gun 2,2018.0,0.02
100% Pascal Sensei: Kanpeki Paint Bombers,2017.0,0.03
Geten no Hana,2013.0,0.02
WSC Real 09: World Championship Snooker,2009.0,0.0
John Daly's ProStroke Golf,2010.0,0.11
Splatterhouse,2010.0,0.18
Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,2017.0,0.03
Strawberry Shortcake: Summertime Adventure,2004.0,0.66
Command & Conquer: Red Alert 2,2000.0,1.34
Airlock,1982.0,0.39
Draglade (JP sales),2007.0,0.04
The Idolmaster: Gravure For You! Vol.7,2012.0,0.02
Star Trek: Conquest,2007.0,0.11
Disney Infinity,2013.0,0.67
From TV Animation One Piece: Grand Battle! 3,2003.0,0.2
Forza Motorsport 4: December IGN Pack,2011.0,0.03
Gotcha Force,2003.0,0.03
Touch My Katamari,2012.0,0.02
FabStyle,2011.0,0.08
Assassin's Creed Chronicles,2016.0,0.11
Take A Break's: Puzzle Master,2009.0,0.16
Mega Man Legends,1998.0,0.83
Thoroughbred Breeder II Plus,1995.0,0.04
Triggerheart Excelica Enhanced,2009.0,0.02
Spider-Man: Friend or Foe,2007.0,0.14
Kirby's Adventure,2007.0,0.0
DokiDoki Majo Shinpan! 2,2008.0,0.03
Phantom: Phantom of Inferno,2012.0,0.01
Zoo Tycoon 2: Zookeeper Collection,2006.0,0.0
Gensou Suikoden I & II,2006.0,0.03
Mai-Otome Hime: Otome Butou Shi,2006.0,0.02
Blazing Angels: Squadrons of WWII,2006.0,0.08
FIFA 13,2012.0,0.3
Traxxpad: Portable Studio,2007.0,0.01
Legasista,2012.0,0.04
Pure Farming 2018,2018.0,0.03
Build-a-lot,2008.0,0.01
The Godfather II,2009.0,0.79
The Sims 3,2010.0,2.03
Falcon 4.0: Allied Force,2005.0,0.02
Iridion 3D,2001.0,0.46
Hot Wheels: Burnin' Rubber,2001.0,0.06
Military History: Commander - Europe at War,2009.0,0.0
Konami Classics Vol. 2,2009.0,0.01
Rally Cross 2,1998.0,0.35
Band Hero,2009.0,0.76
Carmen Sandiego: The Secret of the Stolen Drums,2004.0,0.06
Driven,2001.0,0.03
Unreal Tournament 2003,2002.0,0.01
SoulCalibur V,2012.0,0.59
Jewel Quest Mysteries,2009.0,0.05
Shin Megami Tensei: Devil Survivor 2 Record Breaker,2015.0,0.13
Ultimate Party Challenge,2009.0,0.08
Growlanser Generations,2004.0,0.11
Hogs of War,2000.0,0.0
Gun Metal,2002.0,0.11
7th Dragon,2009.0,0.14
Shadow Warrior (2013),2014.0,0.11
Heroes Phantasia,2012.0,0.07
Commandos 2: Men of Courage,2002.0,0.18
